type,property,units,est_delivery,status,leasing_pace,notes,source
pipeline,Riverview at Clear Creek,298,,proposed,,"WB Property Group; waterfront mixed-use (marina/hotel/townhomes) incl senior-housing component; CoStar 'under construction' NOT corroborated, public record stalls ~2022-23; market-rate; full plan ~2029",https://communityimpact.com/houston/bay-area/development/2022/04/22/making-a-destination-league-city-developer-sign-agreement-to-build-riverview/
pipeline,Lenox Clear Creek,336,Q3 2027,under construction,,"Likely CoStar placeholder = OHT Partners + Crow Holdings JV, 16200 SH-3; broke ground late 2025; market-rate; LOCATION is Clear Lake 77058 (~Webster), NOT League City - weaker overlap",https://rebusinessonline.com/oht-partners-crow-holdings-break-ground-on-336-unit-multifamily-project-in-metro-houston/
pipeline,Dakota at Kemah,229,Q1 2027,under construction,,"Dakota Enterprises; mgmt The Mathis Group; 2801 Lawrence Rd Kemah; 10 three-story bldgs; groundbreaking Dec 9 2025; TDLR completion Jan 15 2027; market-rate luxury",https://communityimpact.com/houston/bay-area/government/2025/12/03/the-dakota-at-kemah-to-have-groundbreaking-ceremony/
pipeline,The League I,304,Q3 2026,proposed,,"CJ Development (Johnny Vassallo); $125M 44-ac mixed-use FM-518; 304 Phase-1 count UNCONFIRMED (public sourcing ~600 total); no verified groundbreaking, prior multi-yr stall - field-verify vertical status",https://communityimpact.com/houston/bay-area/development/2026/03/31/new-modern-retail-dining-space-coming-to-league-city/
pipeline,The Edge at Seabrook Town Centre,320,Q2 2028,under construction,,"HS Development Group; $85M 19.5-ac mixed-use; broke ground Jan 2026 after ~3-yr financing stall; 4-story garden + 28.5k sf retail; market-rate (rents $1.5k-$3.1k); buildout Q2 2028",https://therealdeal.com/texas/2026/01/16/hs-development-groups-seabrook-town-centre-breaks-ground/
pipeline,The League Future Phases,400,,proposed,,"CJ Development; future tranche of The League (FM-518); total project described up to ~600 units across phases so 400 future phase plausible but specific count NOT independently verified; market-rate",https://communityimpact.com/houston/bay-area/development/2022/01/27/45-acre-mixed-use-development-the-league-to-bring-retail-restaurants-homes-to-league-city/
pipeline,Residences at Highland Center,275,,proposed,,"UNVERIFIED - no public news, city agenda, or developer source found tying a ~275-unit MF project to Highland Center; possible CoStar/RealPage early-stage or speculative entry",not found
pipeline,Seabrook Plaza,260,,proposed,,"UNVERIFIED - could not confirm a 260-unit 'Seabrook Plaza' MF project; may be alias/duplicate of The Edge at Seabrook Town Centre or speculative CoStar entry",not found
pipeline,Avalon at Kemah I,198,,proposed,,"UNVERIFIED - no public record of an 'Avalon at Kemah' apartment project; Kemah's only verified active MF is The Dakota; possible CoStar placeholder/rename",not found
pipeline,Avalon at Kemah II,228,,proposed,,"UNVERIFIED - Phase II of an unverified Phase I; no public confirmation found; treat as speculative pending Kemah planning dept / CoStar source check",not found
shadow,Westland Ranch MPC potential MF tract,,,planned/speculative,,"Meritage Homes MPC, W League City near SH-99/FM-517 (~5-6 mi, radius edge); ~1,200+ SF lots; no confirmed apartment phase but large MPCs often carry MF tracts; MF entitlement UNVERIFIED",https://www.meritagehomes.com/state/tx/houston/westland-ranch
shadow,FM-518 / Main St corridor mixed-use capacity,,,zoning/entitlement capacity,,"League City comp plan & recent rezonings along FM-518 favor mixed-use w/ residential (The League sits here); latent MF capacity exists but no specific unnamed funded project confirmed",https://www.leaguecitytx.gov/151/Planning
shadow,Webster / SH-3 & Bay Area Blvd MF node,,,redevelopment node,,"Webster (Baybrook/I-45 hub, ~4-5 mi N) actively courts MF; OHT/Crow 336u JV sits here; likely additional latent MF capacity but no specific unnamed verified project found",https://www.cityofwebster.com
shadow,Friendswood multifamily,,,none confirmed,,"Friendswood largely SF-oriented, historically resistant to high-density MF; some mixed-use discussion at FM-518/FM-528 but nothing concrete; no specific latent apartment project found",not found
