type,property,units,est_delivery,status,leasing_pace,notes,source
pipeline,Meritum Sheely Farms,680,Q4 2024,,,(verify leasing up),
pipeline,Broadstone Ascend,432,Q4 2025,,,(verify leasing up),
pipeline,Radia Avondale Station,407,Q1 2024,,,(verify leasing up),
pipeline,Alta 99th,402,Q1 2024,,,(verify leasing up),
pipeline,Flatz 623,360,Q2 2026,,,(verify leasing up),
pipeline,Alta Avondale,360,Q2 2024,,,(verify leasing up),
pipeline,Alta Goodyear,342,Q2 2025,,,(verify leasing up),
pipeline,Agave Ranch,324,Q2 2025,,,(verify leasing up),
pipeline,Avondale Commons,324,Q2 2025,,,(verify leasing up),
pipeline,Livano Avondale,316,Q2 2024,,,(verify leasing up),
pipeline,Broadstone Westgate,308,Q2 2025,,,(verify leasing up),
pipeline,The Douglas,307,Q2 2025,,,(verify leasing up),
pipeline,Stately Avondale,286,Q2 2026,,,(verify leasing up),
pipeline,Streamliner Aldea,282,Q2 2025,,,(verify leasing up),
pipeline,Cabana Aldea,257,Q2 2025,,,(verify leasing up),
pipeline,Somerset Upscale Apartments,234,Q2 2025,,,(verify leasing up),
pipeline,Cardinal 95,198,Q2 2024,,,(verify leasing up),
pipeline,Avilla Western Garden,195,Q2 2026,,,(verify leasing up),
pipeline,Moderne at Roosevelt,185,Q2 2024,,,(verify leasing up),
pipeline,Village at Skyline Ranch,167,Q2 2025,,,(verify leasing up),
pipeline,Villas Litchfield Park,153,Q3 2025,,,(verify leasing up),
pipeline,Villas on Van Buren,143,Q3 2025,,,(verify leasing up),
pipeline,Canopy at the Trails,124,Q2 2024,,,(verify leasing up),
pipeline,Rev3 at Avondale Station,117,Q2 2026,,,(verify leasing up),
pipeline,Liberty at Estrella Falls,106,Q2 2026,,,(verify leasing up),
pipeline,Pradera Estates,86,Q3 2025,,,(verify leasing up),
pipeline,Rev3 Encanto West,84,Q3 2025,,,(verify leasing up),
pipeline,Avalon Townhomes,70,Q3 2025,,,(verify leasing up),
pipeline,Sheely Center Future Phase,697,,,,(verify proposed),
pipeline,Urban 95 Parcel C,500,,,,(verify proposed),
pipeline,Urban 95 Parcel B,478,,,,(verify proposed),
pipeline,Celebration Plaza Parcel B,410,,,,(verify proposed),
pipeline,The District at Westgate,384,,,,(verify proposed),
pipeline,Picerne at Palm Valley,383,,,,(verify proposed),
pipeline,Liv Avondale,333,,,,(verify proposed),
pipeline,Urban 95 Parcel A,324,,,,(verify proposed),
pipeline,The Waverly,323,Q3 2028,,,(verify proposed),
pipeline,Fuze 623,321,,,,(verify proposed),
pipeline,Anton Glendale,320,,,,(verify proposed),
pipeline,Western Garden II,314,,,,(verify proposed),
pipeline,Sanctuair at Centerscape,303,,,,(verify proposed),
pipeline,Encore Avondale,300,Q3 2028,,,(verify proposed),
pipeline,Banyan Avondale,296,,,,(verify proposed),
pipeline,Rosilian Villas,291,,,,(verify proposed),
pipeline,The Statler at Estrella Parkway,284,Q3 2028,,,(verify proposed),
pipeline,Orion Avondale,268,,,,(verify proposed),
pipeline,Tavalo at Avondale,266,,,,(verify proposed),
pipeline,Marbella Ranch East Future Phase,266,,,,(verify proposed),
pipeline,Crystal Cove,260,,,,(verify proposed),
pipeline,SimonMed Development I,239,,,,(verify proposed),
pipeline,Cornerstone at the Wigwam,212,,,,(verify proposed),
pipeline,Radia Avondale Station III,212,,,,(verify proposed),
pipeline,Celebration Plaza Parcel A,181,,,,(verify proposed),
pipeline,Villages at River Grove,180,,,,(verify proposed),
pipeline,District 99,172,,,,(verify proposed),
pipeline,McDowell Villas,164,,,,(verify proposed),
pipeline,Avondale,156,,,,(verify proposed),
pipeline,Porter Kyle Development,135,,,,(verify proposed),
pipeline,Ascent Goodyear,113,Q3 2028,,,(verify proposed),
pipeline,Northern 107,74,Q4 2028,,,(verify proposed),
pipeline,Zenn @ Sierra Verde,66,,,,(verify proposed),
pipeline,The BLVD Residential District,,,,,(verify proposed),
pipeline,The BLVD Park Avenue District,,,,,(verify proposed),
pipeline,Globe Land Investors Development,,,,,(verify proposed),
pipeline,Ball Park,,,,,(verify proposed),
pipeline,Vision 2 Parcel A,,,,,(verify proposed),
pipeline,Firststreet Verde,,,,,(verify proposed),
pipeline,Goodyear Civic Square at Estrella Falls,,,,,(verify proposed),
pipeline,I-10 Innovation Center II,,,,,(verify proposed),
pipeline,Celebration Plaza Parcel D,,,,,(verify proposed),
pipeline,SimonMed Development II,,,,,(verify proposed),
pipeline,182 South 95th Avenue,,,,,(verify proposed),
pipeline,Envision Encore,,,,,(verify proposed),
pipeline,Flatz623,360,Q3 2026,,,(verify under construction),
pipeline,FUZE Ballpark,321,Q3 2026,,,(verify under construction),
pipeline,Zanjero III,301,Q2 2028,,,(verify under construction),
pipeline,Pointe Grand Estrella at Phoenix,288,Q2 2027,,,(verify under construction),
pipeline,Yardly Algodon,262,Q4 2027,,,(verify under construction),
pipeline,Cerro Vista,255,Q4 2027,,,(verify under construction),
pipeline,Marbella Ranch East I,144,Q2 2027,,,(verify under construction),
pipeline,Zen @ Angelina,130,Q2 2028,,,(verify under construction),
pipeline,HARMON Ascend,125,Q1 2027,,,(verify under construction),
pipeline,Villages at Northern,74,Q2 2027,,,(verify under construction),
pipeline,Prosper 47,47,Q2 2027,,,(verify under construction),
shadow,<latent site / rezoning / land sale>,,,,,potential future supply not in CoStar/RealPage,
